n_components,reconstruction_error
1,1027.729477762926
2,973.4711103945082
3,899.5992536806757
4,722.9682308021519
5,657.3208543605955
6,588.0383027124836
7,538.3073137481829
8,508.66869330130305
9,393.4747172231626
10,0.5364107312511247
11,5.044250718765027e-27
