n_components,reconstruction_error
1,2224.8321630388746
2,2133.613074888556
3,2349.399214634577
4,2421.7623051565956
5,2431.7607755769313
6,2050.8263238110458
7,1723.6529164228195
8,1411.7579558642149
9,1582.478748031742
10,24.79578649674582
11,5.837533610347169e-26
