n_components,reconstruction_error
1,1027.729477762926
2,973.4711103945068
3,899.5992536806757
4,722.9682308021521
5,657.3208543605967
6,588.038302712483
7,538.3073137481816
8,508.6686933013027
9,393.47471722316334
10,0.5364107312511288
11,4.733244811697693e-27
