n_components,reconstruction_error
1,508350511.5168308
2,61381024.76064994
3,54236109.6980994
4,52955443.727920115
5,46630690.997889005
6,3742379.236686798
7,854032.5778740555
8,463614.75248285953
9,446701.5349736425
10,78105.1441947596
11,11244.418051081246
12,9064.935857530456
13,7314.452993123552
14,249.24674477173582
15,176.6726338601151
16,1.2019870765541055e-17
