n_components,reconstruction_error
1,744810429.9116089
2,702492661.2499567
3,838747407.1833254
4,915359779.7880142
5,889853452.4262881
6,838521555.2431535
7,1109070363.3813581
8,1224244496.345242
9,1106709858.0445142
10,1202022707.5175211
11,1154903460.492967
12,1191511795.53259
13,771127016.3355588
14,467781078.89655274
15,450197995.3082176
16,3.9453777536138745e-20
